from_county,to_county,facility,product,units,meta
KISII,TURKANA,Nyamarambe/Nduru Hospital,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,50,Distibuted_Sunscreen_Lotions=2160; Distributed_After_Sun_Lotions=2160; Distributed_Protective_Clothings_Caps=540; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=540
KISII,TURKANA,Kenyenya Hospital,Distibuted_Sunscreen_Lotions,132,Distibuted_Sunscreen_Lotions=1440; Distributed_After_Sun_Lotions=1440; Distributed_Protective_Clothings_Caps=360; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=360
KISII,TURKANA,Kenyenya Hospital,Distributed_Lip_Care_Products,132,Distibuted_Sunscreen_Lotions=1440; Distributed_After_Sun_Lotions=1440; Distributed_Protective_Clothings_Caps=360; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=360
KISII,TURKANA,Kenyenya Hospital,Distributed_After_Sun_Lotions,132,Distibuted_Sunscreen_Lotions=1440; Distributed_After_Sun_Lotions=1440; Distributed_Protective_Clothings_Caps=360; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=360
KISII,TURKANA,Kenyenya Hospital,Distributed_Protective_Clothings_Caps,33,Distibuted_Sunscreen_Lotions=1440; Distributed_After_Sun_Lotions=1440; Distributed_Protective_Clothings_Caps=360; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=360
KISII,TURKANA,Kenyenya Hospital,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,33,Distibuted_Sunscreen_Lotions=1440; Distributed_After_Sun_Lotions=1440; Distributed_Protective_Clothings_Caps=360; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=360
KISII,TURKANA,Ogembo Hosptal/Gucha,Distibuted_Sunscreen_Lotions,50,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Ogembo Hosptal/Gucha,Distributed_Lip_Care_Products,50,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Ogembo Hosptal/Gucha,Distributed_After_Sun_Lotions,50,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Ogembo Hosptal/Gucha,Distributed_Protective_Clothings_Caps,12,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Ogembo Hosptal/Gucha,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,12,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Gesusu  Hospital,Distibuted_Sunscreen_Lotions,83,Distibuted_Sunscreen_Lotions=900; Distributed_After_Sun_Lotions=900; Distributed_Protective_Clothings_Caps=225; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=225
KISII,TURKANA,Gesusu  Hospital,Distributed_Lip_Care_Products,83,Distibuted_Sunscreen_Lotions=900; Distributed_After_Sun_Lotions=900; Distributed_Protective_Clothings_Caps=225; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=225
KISII,TURKANA,Gesusu  Hospital,Distributed_After_Sun_Lotions,83,Distibuted_Sunscreen_Lotions=900; Distributed_After_Sun_Lotions=900; Distributed_Protective_Clothings_Caps=225; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=225
KISII,TURKANA,Gesusu  Hospital,Distributed_Protective_Clothings_Caps,21,Distibuted_Sunscreen_Lotions=900; Distributed_After_Sun_Lotions=900; Distributed_Protective_Clothings_Caps=225; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=225
KISII,TURKANA,Gesusu  Hospital,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,21,Distibuted_Sunscreen_Lotions=900; Distributed_After_Sun_Lotions=900; Distributed_Protective_Clothings_Caps=225; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=225
KISII,TURKANA,Riyabe  Hospital,Distibuted_Sunscreen_Lotions,99,Distibuted_Sunscreen_Lotions=1080; Distributed_After_Sun_Lotions=1080; Distributed_Protective_Clothings_Caps=270; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=270
KISII,TURKANA,Riyabe  Hospital,Distributed_Lip_Care_Products,99,Distibuted_Sunscreen_Lotions=1080; Distributed_After_Sun_Lotions=1080; Distributed_Protective_Clothings_Caps=270; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=270
KISII,TURKANA,Riyabe  Hospital,Distributed_After_Sun_Lotions,99,Distibuted_Sunscreen_Lotions=1080; Distributed_After_Sun_Lotions=1080; Distributed_Protective_Clothings_Caps=270; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=270
KISII,TURKANA,Riyabe  Hospital,Distributed_Protective_Clothings_Caps,25,Distibuted_Sunscreen_Lotions=1080; Distributed_After_Sun_Lotions=1080; Distributed_Protective_Clothings_Caps=270; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=270
KISII,TURKANA,Riyabe  Hospital,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,25,Distibuted_Sunscreen_Lotions=1080; Distributed_After_Sun_Lotions=1080; Distributed_Protective_Clothings_Caps=270; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=270
KISII,TURKANA,Marani Hospital,Distibuted_Sunscreen_Lotions,66,Distibuted_Sunscreen_Lotions=720; Distributed_After_Sun_Lotions=720; Distributed_Protective_Clothings_Caps=180; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=180
KISII,TURKANA,Marani Hospital,Distributed_Lip_Care_Products,66,Distibuted_Sunscreen_Lotions=720; Distributed_After_Sun_Lotions=720; Distributed_Protective_Clothings_Caps=180; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=180
KISII,TURKANA,Marani Hospital,Distributed_After_Sun_Lotions,66,Distibuted_Sunscreen_Lotions=720; Distributed_After_Sun_Lotions=720; Distributed_Protective_Clothings_Caps=180; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=180
KISII,TURKANA,Marani Hospital,Distributed_Protective_Clothings_Caps,16,Distibuted_Sunscreen_Lotions=720; Distributed_After_Sun_Lotions=720; Distributed_Protective_Clothings_Caps=180; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=180
KISII,TURKANA,Marani Hospital,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,16,Distibuted_Sunscreen_Lotions=720; Distributed_After_Sun_Lotions=720; Distributed_Protective_Clothings_Caps=180; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=180
KISII,TURKANA,Kisii Lev 5,Distibuted_Sunscreen_Lotions,231,Distibuted_Sunscreen_Lotions=2520; Distributed_After_Sun_Lotions=2520; Distributed_Protective_Clothings_Caps=630; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=630
KISII,TURKANA,Kisii Lev 5,Distributed_Lip_Care_Products,231,Distibuted_Sunscreen_Lotions=2520; Distributed_After_Sun_Lotions=2520; Distributed_Protective_Clothings_Caps=630; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=630
KISII,TURKANA,Kisii Lev 5,Distributed_After_Sun_Lotions,231,Distibuted_Sunscreen_Lotions=2520; Distributed_After_Sun_Lotions=2520; Distributed_Protective_Clothings_Caps=630; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=630
